iter	Passed	Remaining
1322	230295	117845
1323	230517	117696
1324	230676	117514
1325	230907	117369
1326	231099	117204
1327	231268	117027
1328	231532	116898
1329	231687	116714
1330	231790	116504
1331	231895	116296
1332	232139	116156
1333	232347	115999
1334	232600	115864
1335	232773	115689
1336	232954	115518
1337	233129	115345
1338	233320	115179
1339	233484	114999
1340	233610	114801
1341	233752	114612
1342	233917	114433
1343	234081	114254
1344	234232	114068
1345	234424	113903
1346	234583	113721
1347	234764	113550
1348	234901	113358
1349	235066	113180
1350	235293	113031
1351	235410	112829
1352	235594	112660
1353	235786	112494
1354	235972	112326
1355	236122	112140
1356	236366	111999
1357	236488	111800
1358	236657	111624
1359	236945	111503
1360	237135	111337
1361	237294	111155
1362	237478	110986
1363	237734	110849
1364	237949	110694
1365	238073	110496
1366	238210	110305
1367	238378	110127
1368	238514	109936
1369	238633	109736
1370	238800	109559
1371	238959	109378
1372	239094	109185
1373	239226	108992
1374	239429	108831
1375	239591	108651
1376	239772	108481
1377	239927	108298
1378	240116	108130
1379	240260	107942
1380	240419	107762
1381	240537	107563
1382	240703	107385
1383	240855	107201
1384	240954	106994
1385	241090	106803
1386	241256	106625
1387	241389	106434
1388	241476	106221
1389	241588	106020
1390	241718	105827
1391	241910	105662
1392	242055	105475
1393	242204	105291
1394	242292	105080
1395	242440	104895
1396	242540	104690
1397	242695	104508
1398	242851	104327
1399	243008	104146
1400	243191	103976
1401	243312	103780
1402	243487	103607
1403	243589	103404
1404	243736	103219
1405	243848	103019
1406	243978	102828
1407	244073	102621
1408	244257	102452
1409	244427	102278
1410	244644	102122
1411	244804	101944
1412	244946	101757
1413	245176	101607
1414	245305	101416
1415	245503	101252
1416	245677	101079
1417	245900	100926
1418	246020	100731
1419	246236	100575
1420	246379	100389
1421	246515	100201
1422	246744	100050
1423	246851	99850
1424	246938	99642
1425	247113	99469
1426	247273	99290
1427	247493	99135
1428	247632	98949
1429	247824	98783
1430	247976	98601
1431	248091	98404
1432	248274	98235
1433	248390	98039
1434	248590	97877
1435	248730	97690
1436	248904	97518
1437	249047	97332
1438	249255	97173
1439	249428	96999
1440	249648	96844
1441	249799	96663
1442	249976	96491
1443	250129	96310
1444	250234	96110
1445	250439	95949
1446	250596	95770
1447	250750	95590
1448	250952	95427
1449	251093	95242
1450	251253	95064
1451	251449	94899
1452	251588	94713
1453	251780	94547
1454	251951	94373
1455	252161	94214
1456	252321	94036
1457	252511	93869
1458	252675	93692
1459	252827	93511
1460	253063	93361
1461	253210	93178
1462	253339	92989
1463	253460	92796
1464	253580	92604
1465	253700	92412
1466	253886	92243
1467	254090	92081
1468	254270	91911
1469	254422	91730
1470	254642	91574
1471	254832	91407
1472	255029	91242
1473	255169	91057
1474	255314	90874
1475	255529	90716
1476	255615	90512
1477	255703	90309
1478	255884	90139
1479	256022	89954
1480	256146	89763
1481	256347	89600
1482	256510	89424
1483	256657	89241
1484	256827	89067
1485	256999	88894
1486	257118	88703
1487	257255	88518
1488	257398	88334
1489	257574	88163
1490	257780	88001
1491	257894	87808
1492	258074	87638
1493	258301	87483
1494	258498	87318
1495	258618	87128
1496	258749	86941
1497	258892	86758
1498	259038	86576
1499	259176	86392
1500	259319	86209
1501	259445	86021
1502	259566	85831
1503	259799	85678
1504	259957	85500
1505	260083	85312
1506	260228	85131
1507	260395	84956
1508	260576	84786
1509	260780	84624
1510	260964	84455
1511	261110	84273
1512	261352	84123
1513	261539	83955
1514	261738	83790
1515	261952	83631
1516	262087	83446
1517	262238	83266
1518	262439	83103
1519	262608	82929
1520	262796	82761
1521	262990	82595
1522	263140	82414
1523	263307	82240
1524	263500	82073
1525	263704	81910
1526	263881	81739
1527	264035	81560
1528	264208	81387
1529	264357	81207
1530	264493	81023
1531	264650	80846
1532	264822	80673
1533	265046	80516
1534	265237	80348
1535	265382	80167
1536	265577	80001
1537	265738	79825
1538	265927	79657
1539	266149	79499
1540	266396	79348
1541	266584	79180
1542	266770	79011
1543	266960	78843
1544	267167	78680
1545	267361	78513
1546	267562	78348
1547	267791	78192
1548	267991	78027
1549	268148	77849
1550	268308	77672
1551	268462	77494
1552	268629	77319
1553	268829	77154
1554	268982	76975
1555	269152	76801
1556	269332	76630
1557	269461	76445
1558	269649	76276
1559	269767	76088
1560	269911	75907
1561	270054	75725
1562	270154	75532
1563	270307	75354
1564	270405	75160
1565	270567	74984
1566	270712	74804
1567	270862	74625
1568	271109	74473
1569	271294	74303
1570	271460	74128
1571	271557	73935
1572	271647	73740
1573	271806	73563
1574	272043	73408
1575	272199	73231
1576	272326	73046
1577	272484	72869
1578	272654	72696
1579	272777	72510
1580	272975	72344
1581	273090	72156
